Código,Nome,Regional,Prioridade,Morada,Latitude,Longitude,Estado_GPS
258,TONDELA,94 - TON,Normal,R Maestro J Ribeiro Azevedo,40.505767,-8.080397,OK
259,BRAGANCA,96 - SAN,Normal,R Dr Alexandre Faria,41.8106358,-6.7638634,OK
261,COIMBRA - SANTA CLARA,94 - TON,Normal,"Rdo Lagar, Lt1",40.198583,-8.440192,OK
262,PACOS DE FERREIRA,96 - SAN,Normal,R Dr Jaime de Barros,41.279736,-8.375858,OK
263,VALENCA,96 - SAN,Normal,Av Dr Tito Fontes,42.026875,-8.637486,OK
264,COIMBRA - EIRAS,94 - TON,Normal,R Dr Manuel Almeida e Sousa,40.227301,-8.438700,OK
267,ESPOSENDE,96 - SAN,Normal,Av. Visconde São Januário,41.501667,-8.759722,OK
268,FAFE,96 - SAN,Normal,"R Cidade de Guimarães, n285",41.451906,-8.188453,OK
269,LAMEGO,96 - SAN,Normal,Lugar de Calvilhe,41.081139,-7.799092,OK
272,ANADIA,94 - TON,Normal,R das Flores,40.441986,-8.449781,OK
273,LOUSADA,96 - SAN,Normal,"R Antonio Gomes Ribeiro, n123",41.271067,-8.284650,OK
274,V.N.GAIA - GULPILHARES,96 - SAN,Normal,R Salvador Brandão 1316,41.071664,-8.626017,OK
277,LECA DA PALMEIRA,96 - SAN,Normal,"R da Bataria, n45",41.2045671,-8.6988239,OK
278,CONDEIXA-A-NOVA,94 - TON,Normal,"Urb. Faia Nova, Lt B2",40.110028,-8.507597,OK
279,PENAFIEL,96 - SAN,Normal,R do Sameiro - Circular Sul,41.2111845,-8.2708463,OK
281,SEVER VOUGA,96 - SAN,Normal,R da APCDI,40.721603,-8.361439,OK
282,POVOA DO LANHOSO,96 - SAN,Normal,R Poça de Chidelas,41.575320,-8.277815,OK (Manual)
285,MIRANDELA,96 - SAN,Normal,Lugar Quinta Branca,41.4941762,-7.1841292,OK
287,CASTELO DE PAIVA,96 - SAN,Normal,Variante à EN 222,41.038281,-8.261994,OK
288,BARCELOS,96 - SAN,Normal,Lugar de Pena - Gamil,41.522400,-8.592739,OK
290,S.PEDRO DO SUL,96 - SAN,Normal,Av da Ponte,40.7610215,-8.0628096,OK
291,MACEDO DE CAVALEIROS,96 - SAN,Normal,R Viriato Martins,41.544158,-6.959786,OK
292,MEALHADA,94 - TON,Normal,R das Padeiras da Mealhada,40.373692,-8.449236,OK
293,PONTE DE LIMA,96 - SAN,Normal,"Rua da Lebre, n7",41.7725023,-8.5773757,OK
295,VIEIRA DO MINHO,96 - SAN,Normal,Av. João Torre,41.636639,-8.142603,OK
297,VIZELA,96 - SAN,Normal,R Guilherme Caldas Peixoto,41.371539,-8.312236,OK
298,CHAVES,96 - SAN,Normal,Av da Trindade,41.759597,-7.4725857,OK
318,EVORA,93 - PAL,Normal,"R Horta de Figueiras, Lt1",38.5589217,-7.9140226,OK
321,ELVAS,93 - PAL,Normal,"EN 4, Av. de Badajoz",38.8753679,-7.1616967,OK
323,PALMELA,93 - PAL,Normal,"EN 379, km 34,9",38.5773663,-8.8984037,OK
326,SEIXAL - AMORA,93 - PAL,Normal,Av. Baía Natural do Seixal,38.630608,-9.118686,OK
328,BEJA,93 - PAL,Normal,"Variante à EN 18,121,122",38.0054384,-7.8736245,OK
330,PORTIMAO,93 - PAL,Normal,"Barranco do Rodrigo, V 7",37.134242,-8.546100,OK
336,SESIMBRA - AV J. PAULO II,93 - PAL,Normal,Av João Paulo II,38.485156,-9.104419,OK
338,OLHAO,93 - PAL,Normal,EN 125 - Pechão,37.029572,-7.853464,OK
339,FARO - BOM JOAO,93 - PAL,Normal,"Bom João, Lt 1",37.013786,-7.919061,OK
340,ALMADA - FEIJO,11 - LOU,Normal,"R dos Castanheiros, n30",38.660145,-9.166412,OK (Manual)
341,TAVIRA,93 - PAL,Normal,Lg de Santo Amaro,37.119326,-7.6561402,OK
342,SETUBAL - S.SEBASTIAO,93 - PAL,Normal,Av da Bela Vista,38.521536,-8.872692,OK
344,LOULE,93 - PAL,Normal,Av. Andrade de Sousa,37.135556,-8.030892,OK
345,V.REAL STO ANTONIO,93 - PAL,Normal,Hortas - EN 122,37.192156,-7.424872,OK
346,ODEMIRA,93 - PAL,Normal,EN 393,37.5917135,-8.6694242,OK
351,MONTEMOR-O-NOVO,93 - PAL,Normal,"R Curvo Semedo, Lt13",38.647877,-8.222552,OK
352,ALCOCHETE,93 - PAL,Normal,Lagoa do Láparo,38.7512824,-8.9578271,OK
353,LAGOS,93 - PAL,Normal,Av da República,37.107442,-8.68175,OK
354,Alcacer Do Sal,93 - PAL,Normal,Rua Olival da Capela,38.380228,-8.512631,OK
356,PINHAL NOVO,93 - PAL,Normal,Villas do Terrim,38.6192158,-8.919838,OK
357,ALBUFEIRA,93 - PAL,Normal,R Baden Powell,37.095664,-8.249486,OK
358,S. BRAS DE ALPORTEL,93 - PAL,Normal,EN 2,37.14965,-7.893842,OK
360,ALMADA - SOBREDA,11 - LOU,Normal,"R Quinta do Salgado, n14",38.646583,-9.180244,OK
361,VENDAS NOVAS,93 - PAL,Normal,R do Polígono,38.6786532,-8.451643,OK
362,SEIXAL - MIRATEJO,11 - LOU,Normal,R Ferreira de Castro,38.649822,-9.142722,OK
363,VILA VICOSA,93 - PAL,Normal,EN 255,38.785908,-7.422575,OK
