Código,Nome,Regional,Prioridade,Morada,Latitude,Longitude,Estado_GPS
460,BARREIRO - LAVRADIO,93 - PAL,Normal,"R da Indústria, n19 ",38.668169,-9.055611,OK
461,SEIXAL - FOGUETEIRO,93 - PAL,Normal,Av Resistentes Antifascistas 60,38.615264,-9.108811,OK
463,SILVES,93 - PAL,Normal,Rua Cruz da Palmeira,37.186328,-8.440358,OK
464,BARCELOS,96 - SAN,Normal,R Filipa Borges,41.5325797,-8.6289453,OK
465,ESPINHO,96 - SAN,Normal,"R 43, n582",41.0000651,-8.641499,OK
466,CASCAIS - ABOBODA,11 - LOU,Normal,R Luis Amaro Bexiga,38.727678,-9.336544,OK
467,FIGUEIRA DA FOZ - BILLERUD,94 - TON,Normal,R.Celulose de Billerud,40.1574634,-8.8522557,OK
468,PORTO - AREOSA,96 - SAN,Normal,"R Diamantina, n 238",41.1800862,-8.5814651,OK
469,ALFRAGIDE,11 - LOU,Normal,"Est. da Ponte,  Lt 4/5",38.74092,-9.224724,OK
470,VIANA DO CASTELO,96 - SAN,Normal,R Eça de Queiroz,41.706308,-8.819658,OK
471,SINTRA - LINHO,11 - LOU,Normal,Avenida Pedro Alvares Cabral,38.7595126,-9.3800714,OK
472,LOURES - SACAVEM,11 - LOU,Normal,Quinta S João das Areias,38.796061,-9.116989,OK
473,ESTARREJA,96 - SAN,Normal,"R Alexandre Miranda, n1",40.764622,-8.568518,OK
474,CASCAIS - TIRES,11 - LOU,Normal,Rua Manuel Vieira Rosa 1,38.714822,-9.3449397,OK
475,Vila Verde,96 - SAN,Normal,Rua dos Bombeiros,41.6474272,-8.4398259,OK
476,LOUROSA,96 - SAN,Normal,"Av. Principal, km 284",40.980000,-8.536336,OK
477,MONCAO,96 - SAN,Normal,"EN 101, km 15,3",42.0668376,-8.4972833,OK
478,CASCAIS - S.JOSE,11 - LOU,Normal,Rua S.Jose,38.709078,-9.421583,OK
479,LAGOA - PARCHAL,93 - PAL,Normal,"Rua Foz do Arade, n5",37.136783,-8.519586,OK
480,TOMAR,94 - TON,Normal,R de Coimbra,39.6101535,-8.403638,OK
481,COVILHA,94 - TON,Normal,Variante 18 a Covilha,40.268694,-7.505110,OK
482,Porto - R Diogo Botelho,96 - SAN,Normal,"Rua Diogo Botelho, 440",41.152281,-8.652734,OK
483,SINTRA - CASAL DE CAMBRA,11 - LOU,Normal,Av. de Lisboa,38.7876945,-9.2292652,OK
484,VAGOS,96 - SAN,Normal,R do Gremio da Lavoura,40.5466874,-8.6795295,OK
486,Casal Ribeiro,11 - LOU,Normal,Av.Casal Ribeiro,38.732278,-9.142056,OK
487,Viana do Castelo - Darque,96 - SAN,Normal,Rua Arriscado Queirós,41.681339,-8.775156,OK
488,Cascais - Rebelva,11 - LOU,Normal,Rua Feliciano Moreira Nº 1,38.6957378,-9.343172,OK
489,VILA REAL,96 - SAN,Normal,Av da Universidade - S Pedro,41.293053,-7.735832,OK
490,Barreiro-Qt Canas,93 - PAL,Normal,Av. Esc. Fuzileiros Navais,38.643278,-9.060056,OK
492,BOLIQUEIME,93 - PAL,Normal,Av Prof Dr Anibal Cavaco Silva,37.12905,-8.151675,OK
494,Rio Tinto,96 - SAN,Normal,AvDrDomingosGoncalves Sa 381,41.175622,-8.556581,OK
495,Bairro Azul,11 - LOU,Normal,Av. Ressano Garcia 1 C/V,38.733745,-9.155412,OK (Manual)
496,Braga-Infias,96 - SAN,Normal,ua Americo Rodrigues Barbosa,41.560464,-8.416756,OK
497,Seixal - Fernão Ferro,93 - PAL,Normal,Qª do Morgado - Qª Godim,38.556036,-9.087206,OK
498,LISBOA - SETE RIOS,11 - LOU,Normal,Av. Columbano Bordalo Pinheiro,38.739355,-9.165485,OK (Manual)
499,Santa Maria da Feira,96 - SAN,Normal,Rua de Santo Andre,40.930809,-8.552218,OK
500,Porto - Fernao Magalhaes,96 - SAN,Normal,Av Fernao Magalhaes,41.158394,-8.593606,OK
501,Caldas da Rainha,94 - TON,Normal,R Sao Joao de Deus,39.398867,-9.137544,OK
502,LOURES- FRIELAS,11 - LOU,Normal,EN 250,38.815278,-9.148333,OK
503,Lisboa-Entrecampos,11 - LOU,Normal,Rua Cordeiro de Sousa,38.747812,-9.151112,OK (Manual)
504,V.N. Gaia - Centro,96 - SAN,Normal,R. de Alvares Cabral,41.128639,-8.609172,OK
505,VN.Famalicao - P Saramagos,96 - SAN,Normal,"EN 206, Lugar de Veigas ",41.4262001,-8.433494,OK
507,Lisboa Olivais Sul,11 - LOU,Normal,R Cidade de Bolama,38.7624953,-9.117499,OK
509,Leiria Guimarota,94 - TON,Normal,R Vale de Lobos,39.731392,-8.799453,OK
510,Lousã,94 - TON,Normal,Rua Cordeiro de Sousa,40.119139,-8.249522,OK
511,Odivelas,11 - LOU,Normal,Rua Heróis do Chaimite,38.794167,-9.168611,OK
512,Lourinha,11 - LOU,Normal,"Av Antonio Jose Almeida, 49",39.250278,-9.313333,OK
513,Almeirim,94 - TON,Normal,"R Condessa da Junqueira, Lt17",39.2008547,-8.6208093,OK
514,Viseu,96 - SAN,Normal,Rua APPACDM,40.632911,-7.930947,OK
515,Seia,94 - TON,Normal,Avenida Terras de Sena,40.430314,-7.717294,OK
516,Setubal - Sao Juliao,93 - PAL,Normal,Qt Paraiso - Av. Moçambique,38.539174,-8.886780,OK
517,Aveiro-Esgueira,96 - SAN,Normal,"Avenida Europa, 458 - Esgueira",40.6630482,-8.6121601,OK
520,Amarante - S.Gonçalo,96 - SAN,Normal,R. Manuel António da Mota,41.2740482,-8.0915761,OK
523,Guimarães Fermentões,96 - SAN,Normal,Rua Sta Eulalia-Lg do Motelo,41.461208,-8.313214,OK
524,BRAGA - IMACULADA CONCEICAO,96 - SAN,Normal,Av da Imaculada Conceicao,41.543781,-8.427272,OK
525,V.F.XIRA - EN 10,11 - LOU,Normal,Caminho Municipal 1237,38.9761745,-8.9787819,OK
526,Oeiras - Porto Salvo,11 - LOU,Normal,Praca Sergio Vieira de Melo,38.71581,-9.300485,OK
527,Oeiras-Linda-a-Velha,11 - LOU,Normal,Av.25 de Abril n21B,38.716111,-9.239722,OK
528,Barreiro - Luso,93 - PAL,Normal,Rua Miguel Bombarda,38.656883,-9.071317,OK
529,Belenenses,11 - LOU,Normal,Estadio do Restelo AV Restelo,38.701528,-9.208008,OK
533,V.N. Gaia - Monte da Virgem,96 - SAN,Normal,Rua da Conceição Fernandes,41.108667,-8.593000,OK
534,Arganil,94 - TON,Normal,R Mariano Lopes Morgado 360,40.223806,-8.057222,OK
535,St.Tirso - Vila das Aves,96 - SAN,Normal,Calcada Azenha do Pisco,41.3630001,-8.396333,OK
536,Serpa,93 - PAL,Normal,Circular Interna de Serpa,37.9426515,-7.6082723,OK
538,Charneca da Caparica,93 - PAL,Normal,Vale Rosal - Estrada de Palhais,38.618055,-9.204522,OK (Manual)
539,Massama,11 - LOU,Normal,Rua da Matilde,38.758312,-9.284511,OK (Manual)
541,Armacao de Pera,93 - PAL,Normal,Panasqueira,37.104194,-8.363778,OK
543,Rio Mouro,11 - LOU,Normal,Av. M. G. Machado de Sousa,38.783194,-9.336583,OK
544,V.F.XIRA - Vialonga,11 - LOU,Normal,Rua Prof. Egas Moniz,38.87125,-9.084361,OK
545,Cartaxo,94 - TON,Normal,Rua do Progresso Lote nº 2,39.165362,-8.782801,OK
546,Loures-Santa Iria da Azoia,11 - LOU,Normal,Rua D. Pedro V,38.837528,-9.083861,OK
548,Odivelas - R.S.R,11 - LOU,Normal,"Rua Soares dos Reis, Lt 42",38.7977636,-9.1773738,OK
549,Porto - Rotunda AEP,96 - SAN,Normal,Porto-Est Interior Circunvalação,41.1771001,-8.655239,OK
550,Marco de Canaveses,96 - SAN,Normal,Lg da Feira,41.1810116,-8.154007,OK
551,Leiria - Av 25 Abril,94 - TON,Normal,Av 25 de Abril,39.746872,-8.815711,OK
552,Amadora - Venda Nova,11 - LOU,Normal,Rua Joao de Deus 5,38.754444,-9.217778,OK
553,Valongo - Fonseca e Dias,96 - SAN,Normal,"Rua Fonseca Dias, 584",41.1835001,-8.484806,OK
554,Valongo - Ermesinde,96 - SAN,Normal,Rua Prof. Joaquim Teixeira,41.212886,-8.550475,OK
556,V. do Conde,96 - SAN,Normal,AV Julio Graca,41.348391,-8.747087,OK
558,Guimaraes - Silvares,96 - SAN,Normal,Rua 25 de Abril (EN206),41.447389,-8.344222,OK
559,Valongo-Alfena,96 - SAN,Normal,Rua 1º de Maio EN105,41.2400001,-8.529028,OK
560,Moita - Quinta das vargas,93 - PAL,Normal,Quinta das Vargas,38.648333,-8.9969999,OK
561,Porto Alto,94 - TON,Normal,Rua 25 de Abril,38.922306,-8.881806,OK
562,Mem Martins,11 - LOU,Normal,EN 249 KM14,38.780000,-9.348889,OK
563,Vila Nova Famalicão,96 - SAN,Normal,Av. Eng. Pinheiro Braga,41.415972,-8.518583,OK
564,Vila do Conde,96 - SAN,Normal,Rua Nova da Gândara,41.359215,-8.741022,OK (Manual)
565,Viseu - Satao,96 - SAN,Normal,Rua António Augusto Ferreira,40.663694,-7.898500,OK
569,Oeiras - Area de Servicos,11 - LOU,Normal,"A5, Km 10.1",38.718012,-9.278055,OK (Manual)
571,Oliveira do Hospital,94 - TON,Normal,Dr.João AfonsoFerreiraDinis,40.361250,-7.855306,OK
572,Ovar,96 - SAN,Normal,R. da Pardala,40.884296,-8.615851,OK
574,Montijo - Av. De Olivenca,93 - PAL,Normal,Avenida de Olivença,38.714228,-8.972639,OK
576,S. J. M. - Oliveira Junior,96 - SAN,Normal,Rua Oliveira Junior,40.905796,-8.494608,OK
579,Porto - J.Bastos,96 - SAN,Normal,Rua Prof. Joaquim Bastos,41.1694051,-8.6105419,OK
582,MonteCaparica-UniNovaLisboa,93 - PAL,Normal,Campus da Caparica,38.658889,-9.203611,OK
584,Arcos de Valdevez,96 - SAN,Normal,Lugar de Souto,41.841522,-8.423011,OK (Manual)
585,Albergaria a Velha,96 - SAN,URGENTE,Variante do Sobreiro,40.697512,-8.486522,OK (Manual)
586,Mozelos,96 - SAN,URGENTE,Rua de Meladas,40.982515,-8.579012,OK (Manual)
588,Vieira de Leiria,94 - TON,Normal,Rua da Marinha Grande,39.869028,-8.939972,OK
